dt_iso,hour,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,clouds_all,weather_id,weather_description,weather_main
1/1/2016,1,288.14,281.15,292.15,1018,22,5,260,,,1,800,clear sky,Clear
1/1/2016,3,284.27,275.15,289.15,1018,21,1,310,,,1,800,clear sky,Clear
1/1/2016,5,283.38,274.15,287.15,1019,34,2,20,,,1,800,clear sky,Clear
1/1/2016,6,282,272.59,286.15,1019,32,1,16,,,1,800,clear sky,Clear
1/1/2016,7,280.74,270.93,285.15,1019,32,1,18,,,1,721,haze,Haze
1/1/2016,9,280.23,270.15,285.15,1019,31,1,18,,,1,721,haze,Haze
1/1/2016,10,278.97,269.82,285.15,1019,33,1,21,,,1,721,haze,Haze
1/1/2016,11,278.83,269.15,285.15,1019,31,1,21,,,1,800,clear sky,Clear
1/1/2016,13,278.14,269.15,285.15,1018,31,1,21,,,1,721,haze,Haze
1/1/2016,13,278.33,269.26,283.25,1019,33,1,17,,,1,800,clear sky,Clear
1/1/2016,14,278.08,268.15,283.71,1019,28,1,17,,,1,800,clear sky,Clear
1/1/2016,15,277.97,268.15,285.15,1020,30,2,30,,,1,800,clear sky,Clear
1/1/2016,16,280.95,272.04,285.95,1022,28,4,100,,,1,800,clear sky,Clear
1/1/2016,18,283.83,275.93,288.71,1021,23,2,0,,,1,800,clear sky,Clear
1/1/2016,19,287.48,277.59,291.48,1020,14,2,0,,,1,800,clear sky,Clear
1/1/2016,20,289.33,286.48,292.04,1020,14,1,18,,,1,800,clear sky,Clear
1/1/2016,22,289.4,280.15,292.59,1019,12,1,18,,,1,800,clear sky,Clear
1/2/2016,0,288.9,279.26,292.15,1018,15,2,0,,,1,800,clear sky,Clear
1/2/2016,2,285.87,278.71,290.15,1019,26,2,260,,,1,800,clear sky,Clear
1/2/2016,4,283.18,275.15,287.15,1019,44,1,12,,,1,800,clear sky,Clear
1/2/2016,5,282.06,274.26,286.15,1019,32,1,15,,,1,800,clear sky,Clear
1/2/2016,7,282.38,274.82,286.48,1019,22,1,15,,,1,800,clear sky,Clear
1/2/2016,8,281.22,274.26,286.15,1020,22,1,320,,,1,800,clear sky,Clear
1/2/2016,9,280.5,273.15,286.15,1019,22,1,320,,,1,800,clear sky,Clear
1/2/2016,10,279.92,273.15,284.15,1019,23,1,19,,,1,800,clear sky,Clear
1/2/2016,11,279.39,272.59,285.15,1019,23,1,19,,,1,800,clear sky,Clear
1/2/2016,12,279.03,272.15,285.15,1019,27,1,19,,,1,800,clear sky,Clear
1/2/2016,13,278.78,271.48,283.15,1019,31,1,9,,,1,800,clear sky,Clear
1/2/2016,14,278.23,270.93,284.15,1019,29,1,9,,,1,800,clear sky,Clear
1/2/2016,15,279.16,271.48,284.25,1019,29,1,9,,,1,800,clear sky,Clear
1/2/2016,17,281.17,274.15,287.85,1019,29,1,40,,,1,800,clear sky,Clear
1/2/2016,18,284.17,275.93,289.26,1019,23,1,360,,,1,800,clear sky,Clear
1/2/2016,19,288.44,282.04,291.48,1020,17,1,20,,,1,800,clear sky,Clear
1/2/2016,21,289.99,283.71,293.15,1018,17,1,130,,,1,800,clear sky,Clear
1/2/2016,23,290.24,280.93,295.37,1017,20,2,210,,,1,800,clear sky,Clear
